重賞名,基準軸,基準値,条件1,条件2,条件内容,該当数,複勝数,複勝率,条件タイプ,採用ランク
きさらぎG3,年齢,年齢=3歳,前走距離=2000,前走着差帯=前走着差0.6-1.0,年齢=3歳 × 前走距離=2000 × 前走着差帯=前走着差0.6-1.0,16,0,0.0,消し0,強消しS
きさらぎG3,性別,牡馬,前走距離=2000,前走着差帯=前走着差0.6-1.0,牡馬 × 前走距離=2000 × 前走着差帯=前走着差0.6-1.0,16,0,0.0,消し0,強消しS
きさらぎG3,年齢,年齢=3歳,前走場所=中山,騎手替=*,年齢=3歳 × 前走場所=中山 × 騎手替=*,15,0,0.0,消し0,強消しS
きさらぎG3,性別,牡馬,前走場所=中山,騎手替=*,牡馬 × 前走場所=中山 × 騎手替=*,15,0,0.0,消し0,強消しS
きさらぎG3,年齢,年齢=3歳,前走着順帯=前走着順6-9着,前走上り順位帯=前走上り6-9位,年齢=3歳 × 前走着順帯=前走着順6-9着 × 前走上り順位帯=前走上り6-9位,14,0,0.0,消し0,消しA
きさらぎG3,年齢,年齢=3歳,今回馬場=良,前走着差帯=前走着差1.1以上,年齢=3歳 × 今回馬場=良 × 前走着差帯=前走着差1.1以上,14,0,0.0,消し0,消しA
きさらぎG3,年齢,年齢=3歳,騎手替=*,前走着差帯=前走着差1.1以上,年齢=3歳 × 騎手替=* × 前走着差帯=前走着差1.1以上,14,0,0.0,消し0,消しA
きさらぎG3,年齢,年齢=3歳,騎手替=*,前走着順帯=前走着順6-9着,年齢=3歳 × 騎手替=* × 前走着順帯=前走着順6-9着,14,0,0.0,消し0,消しA
きさらぎG3,年齢,年齢=3歳,騎手替=*,前走着差帯=前走着差0.6-1.0,年齢=3歳 × 騎手替=* × 前走着差帯=前走着差0.6-1.0,14,0,0.0,消し0,消しA
きさらぎG3,性別,牡馬,騎手替=*,前走着順帯=前走着順6-9着,牡馬 × 騎手替=* × 前走着順帯=前走着順6-9着,14,0,0.0,消し0,消しA
きさらぎG3,性別,牡馬,騎手替=*,前走着差帯=前走着差0.6-1.0,牡馬 × 騎手替=* × 前走着差帯=前走着差0.6-1.0,14,0,0.0,消し0,消しA
きさらぎG3,年齢,年齢=3歳,今回馬場=良,前走決め手=中団,年齢=3歳 × 今回馬場=良 × 前走決め手=中団,13,0,0.0,消し0,消しA
