コースタイプ,芝・ダ,血統区分,血統名,強条件数,最大リフト,平均複勝率,最大複勝回収率,合計母数
直線長め・持続型,ダ,父系統,父系統不明,32,1.377,0.2328,0.0,15221
直線長め・持続型,芝,父系統,ロイヤルチャージャー系,32,1.222,0.2353,0.0,23085
坂あり・パワー型,ダ,母父系統,ニアークティック系,31,1.247,0.2368,0.0,15140
坂あり・パワー型,ダ,父系統,父系統不明,29,1.3,0.236,0.0,14129
坂あり・パワー型,ダ,母父系統,ネイティヴダンサー系,28,1.389,0.2302,0.0,10355
坂あり・パワー型,ダ,父系統,ネイティヴダンサー系,27,1.328,0.2333,0.0,10293
坂あり・パワー型,芝,父系統,ロイヤルチャージャー系,24,1.304,0.244,0.0,18096
直線長め・持続型,ダ,母父系統,ネイティヴダンサー系,23,1.408,0.2399,0.0,10976
直線長め・持続型,芝,父系統,父系統不明,20,1.366,0.2458,0.0,9487
小回り・機動型,芝,父系統,父系統不明,20,1.344,0.2502,0.0,7418
平坦・スピード型,ダ,母父系統,ネイティヴダンサー系,20,1.341,0.2412,0.0,6891
直線長め・持続型,ダ,父系統,ネイティヴダンサー系,18,1.357,0.2279,0.0,4664
坂あり・パワー型,芝,父,ディープインパクト,17,1.802,0.3445,0.0,3951
小回り・機動型,ダ,父系統,父系統不明,17,1.399,0.2352,0.0,4295
坂あり・パワー型,芝,父系統,父系統不明,17,1.39,0.2604,0.0,4727
直線長め・持続型,芝,母父系統,ニアークティック系,17,1.25,0.2382,0.0,6886
直線長め・持続型,芝,父,ディープインパクト,16,2.006,0.3543,0.0,3955
坂あり・パワー型,芝,母父系統,ニアークティック系,16,1.529,0.2562,0.0,3875
直線長め・平坦型,芝,父系統,ロイヤルチャージャー系,16,1.223,0.2206,0.0,9084
小回り・機動型,芝,父系統,ロイヤルチャージャー系,16,1.19,0.2305,0.0,8132
平坦・スピード型,ダ,父系統,父系統不明,15,1.455,0.2456,0.0,3638
坂あり・パワー型,ダ,父系統,ニアークティック系,15,1.275,0.2256,0.0,3669
直線長め・持続型,ダ,母父系統,ロイヤルチャージャー系,15,1.23,0.2246,0.0,3201
小回り・機動型,芝,母父系統,ニアークティック系,15,1.204,0.2385,0.0,5015
平坦・スピード型,芝,父系統,ロイヤルチャージャー系,15,1.155,0.2536,0.0,11559
小回り・機動型,ダ,父系統,ネイティヴダンサー系,14,1.388,0.2346,0.0,3148
直線長め・持続型,ダ,母父系統,ニアークティック系,13,1.472,0.2354,0.0,3721
小回り・持続型,芝,父系統,父系統不明,13,1.389,0.2664,0.0,3480
小回り・機動型,ダ,母父系統,ニアークティック系,13,1.38,0.2384,0.0,3282
坂あり・パワー型,ダ,母父系統,ロイヤルチャージャー系,13,1.282,0.2524,0.0,4171
坂あり・パワー型,ダ,父系統,ロイヤルチャージャー系,13,1.231,0.2454,0.0,4544
坂あり・パワー型,芝,父,キングカメハメハ,12,1.843,0.3072,0.0,1892
直線長め・持続型,芝,父,ハーツクライ,12,1.628,0.2898,0.0,2116
坂あり・パワー型,ダ,母父,サンデーサイレンス,12,1.458,0.2559,0.0,2283
坂あり・パワー型,芝,父系統,ネイティヴダンサー系,12,1.431,0.2494,0.0,2752
直線長め・持続型,ダ,父系統,ナスルーラ系,12,1.366,0.2361,0.0,2224
坂あり・パワー型,芝,母父系統,ナスルーラ系,12,1.306,0.2497,0.0,3136
直線長め・持続型,芝,母父系統,ロイヤルチャージャー系,11,1.417,0.2287,0.0,2562
直線長め・持続型,芝,母父,サンデーサイレンス,11,1.365,0.2569,0.0,3307
小回り・機動型,芝,母父,サンデーサイレンス,11,1.309,0.2437,0.0,1844
