分類,場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,芝,短中距離(1400-1600),良,外枠(7-8),父,ディープインパクト,346,61,138,0.1763,0.3988,98.3,0.0,4.89,0.1988,0.2,2.006,A,東京芝短中距離(1400-1600)・良・外枠(7-8)で父「ディープインパクト」は基準比リフト2.006
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,中距離(1700-2000),良,外枠(7-8),父,ディープインパクト,275,45,124,0.1636,0.4509,58.7,0.0,4.13,0.2263,0.2246,1.992,A,京都芝中距離(1700-2000)・良・外枠(7-8)で父「ディープインパクト」は基準比リフト1.992
競馬場×距離帯×馬場×枠,中京,直線長め・持続型,芝,短中距離(1400-1600),良,外枠(7-8),父,ディープインパクト,162,19,63,0.1173,0.3889,84.2,0.0,5.81,0.1978,0.1911,1.966,A,中京芝短中距離(1400-1600)・良・外枠(7-8)で父「ディープインパクト」は基準比リフト1.966
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,短中距離(1400-1600),良,内枠(1-2),父,ディープインパクト,161,33,69,0.205,0.4286,176.3,0.0,4.25,0.2185,0.2101,1.962,A,京都芝短中距離(1400-1600)・良・内枠(1-2)で父「ディープインパクト」は基準比リフト1.962
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,芝,短中距離(1400-1600),良,外枠(7-8),父,ロードカナロア,175,21,66,0.12,0.3771,94.6,0.0,5.82,0.1988,0.1783,1.897,A,東京芝短中距離(1400-1600)・良・外枠(7-8)で父「ロードカナロア」は基準比リフト1.897
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),父,ヘニーヒューズ,261,32,95,0.1226,0.364,82.8,0.0,6.11,0.1997,0.1643,1.823,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で父「ヘニーヒューズ」は基準比リフト1.823
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,外枠(7-8),父,ディープインパクト,326,46,112,0.1411,0.3436,82.0,0.0,5.15,0.1907,0.1529,1.802,A,阪神芝短中距離(1400-1600)・良・外枠(7-8)で父「ディープインパクト」は基準比リフト1.802
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,中距離(1700-2000),良,内枠(1-2),父,ディープインパクト,193,31,83,0.1606,0.4301,58.3,0.0,4.1,0.239,0.1911,1.8,A,京都芝中距離(1700-2000)・良・内枠(1-2)で父「ディープインパクト」は基準比リフト1.8
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,短中距離(1400-1600),良,中枠(3-6),父,ディープインパクト,471,71,181,0.1507,0.3843,96.9,0.0,4.6,0.2142,0.1701,1.794,A,京都芝短中距離(1400-1600)・良・中枠(3-6)で父「ディープインパクト」は基準比リフト1.794
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,芝,短中距離(1400-1600),良,中枠(3-6),父,ディープインパクト,241,35,86,0.1452,0.3568,72.6,0.0,5.15,0.2014,0.1554,1.772,A,中山芝短中距離(1400-1600)・良・中枠(3-6)で父「ディープインパクト」は基準比リフト1.772
