競馬場,芝ダ,距離,条件数,消寄項目1,消寄条件1,消寄項目2,消寄条件2,消寄項目3,消寄条件3,過去該当頭数,過去複勝圏内数,過去複勝率,コース頭数,コース複勝率,リフト,該当率,消寄ランク,広すぎ注意,消寄理由
中京,ダ,1200,2,芝ダ替わり,芝→ダ,頭数変化,同頭数,,,32,0,0.0,2173,19.51,0.0,1.47,消寄A,,芝ダ替わり=芝→ダ + 頭数変化=同頭数
中京,ダ,1200,2,頭数変化,今回かなり頭数増,休み明け区分,休み明け3戦目,,,26,0,0.0,2173,19.51,0.0,1.2,消寄A,,頭数変化=今回かなり頭数増 + 休み明け区分=休み明け3戦目
中京,ダ,1200,2,距離変化帯,短縮300-400m,頭数変化,今回かなり頭数増,,,23,0,0.0,2173,19.51,0.0,1.06,消寄A,,距離変化帯=短縮300-400m + 頭数変化=今回かなり頭数増
中京,ダ,1200,2,芝ダ替わり,芝→ダ,前走着差帯,2.0秒以上負け,,,22,0,0.0,2173,19.51,0.0,1.01,消寄A,,芝ダ替わり=芝→ダ + 前走着差帯=2.0秒以上負け
中京,ダ,1200,2,距離変化帯,短縮300-400m,前走脚質帯,先行/好位,,,21,0,0.0,2173,19.51,0.0,0.97,消寄A,,距離変化帯=短縮300-400m + 前走脚質帯=先行/好位
中京,ダ,1200,2,芝ダ替わり,芝→ダ,前走脚質帯,追込/後方,,,47,1,2.13,2173,19.51,0.109,2.16,消寄A,,芝ダ替わり=芝→ダ + 前走脚質帯=追込/後方
中京,ダ,1200,2,芝ダ替わり,芝→ダ,前走4角位置,4角11番手以下,,,37,1,2.7,2173,19.51,0.139,1.7,消寄A,,芝ダ替わり=芝→ダ + 前走4角位置=4角11番手以下
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,休み明け区分,休み明け4戦目以降,,,72,2,2.78,2173,19.51,0.142,3.31,消寄A,,前走着差帯=2.0秒以上負け + 休み明け区分=休み明け4戦目以降
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,頭数変化,今回頭数増,,,66,2,3.03,2173,19.51,0.155,3.04,消寄B,,前走着差帯=2.0秒以上負け + 頭数変化=今回頭数増
中京,ダ,1200,2,前走上り順帯,上り10位以下,前走4角位置,4角11番手以下,,,83,3,3.61,2173,19.51,0.185,3.82,消寄B,,前走上り順帯=上り10位以下 + 前走4角位置=4角11番手以下
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,前走脚質帯,先行/好位,,,68,3,4.41,2173,19.51,0.226,3.13,消寄B,,前走着差帯=2.0秒以上負け + 前走脚質帯=先行/好位
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,前走4角位置,4角11番手以下,,,87,4,4.6,2173,19.51,0.236,4.0,消寄B,,前走着差帯=2.0秒以上負け + 前走4角位置=4角11番手以下
中京,ダ,1200,2,距離変化帯,短縮100-200m,前走着差帯,2.0秒以上負け,,,100,6,6.0,2173,19.51,0.307,4.6,消寄C,,距離変化帯=短縮100-200m + 前走着差帯=2.0秒以上負け
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,107,7,6.54,2173,19.51,0.335,4.92,消寄C,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
中京,ダ,1200,2,前走上り順帯,上り6-9位,前走脚質帯,追込/後方,,,105,7,6.67,2173,19.51,0.342,4.83,消寄C,,前走上り順帯=上り6-9位 + 前走脚質帯=追込/後方
中京,ダ,1200,2,前走着差帯,1.5-1.9秒負け,前走脚質帯,差し/中団,,,102,7,6.86,2173,19.51,0.352,4.69,消寄C,,前走着差帯=1.5-1.9秒負け + 前走脚質帯=差し/中団
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,今回頭数帯,16頭以上,,,218,15,6.88,2173,19.51,0.353,10.03,消寄C,,前走着差帯=2.0秒以上負け + 今回頭数帯=16頭以上
