場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
東京,直線長め・持続型,芝,短中距離(1400-1600),良,外枠(7-8),母父,ディープインパクト,156,19,53,0.1218,0.3397,73.1,0.0,6.43,0.1988,0.1409,1.709,A,東京芝短中距離(1400-1600)・良・外枠(7-8)で母父「ディープインパクト」は基準比リフト1.709
東京,直線長め・持続型,芝,短中距離(1400-1600),良,中枠(3-6),母父,ディープインパクト,216,24,70,0.1111,0.3241,84.8,0.0,6.35,0.2028,0.1213,1.598,A,東京芝短中距離(1400-1600)・良・中枠(3-6)で母父「ディープインパクト」は基準比リフト1.598
東京,直線長め・持続型,芝,中距離(1700-2000),良,中枠(3-6),母父,キングカメハメハ,188,23,66,0.1223,0.3511,92.4,0.0,6.14,0.237,0.1141,1.481,A,東京芝中距離(1700-2000)・良・中枠(3-6)で母父「キングカメハメハ」は基準比リフト1.481
京都,平坦・スピード型,芝,短中距離(1400-1600),良,中枠(3-6),母父,トニービン,151,14,45,0.0927,0.298,59.1,0.0,6.7,0.2142,0.0838,1.391,A,京都芝短中距離(1400-1600)・良・中枠(3-6)で母父「トニービン」は基準比リフト1.391
阪神,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),母父,ディープインパクト,174,20,57,0.1149,0.3276,56.8,0.0,6.42,0.2399,0.0877,1.366,A,阪神芝中距離(1700-2000)・良・中枠(3-6)で母父「ディープインパクト」は基準比リフト1.366
東京,直線長め・持続型,芝,短中距離(1400-1600),良,中枠(3-6),母父,サンデーサイレンス,697,79,193,0.1133,0.2769,103.9,0.0,7.38,0.2028,0.0741,1.365,A,東京芝短中距離(1400-1600)・良・中枠(3-6)で母父「サンデーサイレンス」は基準比リフト1.365
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),母父,フレンチデピュティ,176,18,54,0.1023,0.3068,138.4,0.0,7.02,0.2273,0.0795,1.35,A,阪神ダ中距離(1700-2000)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.35
中山,坂あり・パワー型,芝,短中距離(1400-1600),良,内枠(1-2),母父,サンデーサイレンス,156,18,50,0.1154,0.3205,98.4,0.0,7.06,0.2397,0.0808,1.337,A,中山芝短中距離(1400-1600)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.337
中山,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),母父,フレンチデピュティ,188,17,50,0.0904,0.266,32.6,0.0,7.15,0.199,0.067,1.337,A,中山ダ中距離(1700-2000)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.337
小倉,小回り・機動型,芝,短距離(1000-1300),良,内枠(1-2),母父,サンデーサイレンス,161,13,40,0.0807,0.2484,74.0,0.0,7.2,0.1897,0.0587,1.309,A,小倉芝短距離(1000-1300)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.309
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),母父,クロフネ,225,27,66,0.12,0.2933,113.8,0.0,6.17,0.2273,0.066,1.29,A,阪神ダ中距離(1700-2000)・良・中枠(3-6)で母父「クロフネ」は基準比リフト1.29
東京,直線長め・持続型,芝,短中距離(1400-1600),良,内枠(1-2),母父,サンデーサイレンス,303,20,80,0.066,0.264,44.8,0.0,7.5,0.2047,0.0593,1.29,A,東京芝短中距離(1400-1600)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.29
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,外枠(7-8),母父,サンデーサイレンス,235,24,71,0.1021,0.3021,69.7,0.0,6.4,0.2351,0.067,1.285,A,阪神ダ中距離(1700-2000)・良・外枠(7-8)で母父「サンデーサイレンス」は基準比リフト1.285
中山,坂あり・パワー型,芝,短中距離(1400-1600),良,外枠(7-8),母父,サンデーサイレンス,192,9,46,0.0469,0.2396,155.4,0.0,7.52,0.1887,0.0509,1.27,A,中山芝短中距離(1400-1600)・良・外枠(7-8)で母父「サンデーサイレンス」は基準比リフト1.27
東京,直線長め・持続型,芝,短中距離(1400-1600),良,中枠(3-6),母父,フレンチデピュティ,188,18,48,0.0957,0.2553,119.4,0.0,7.29,0.2028,0.0525,1.259,A,東京芝短中距離(1400-1600)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.259
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),母父,フジキセキ,433,39,108,0.0901,0.2494,116.1,0.0,7.98,0.1997,0.0497,1.249,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で母父「フジキセキ」は基準比リフト1.249
京都,平坦・スピード型,芝,短中距離(1400-1600),良,外枠(7-8),母父,サンデーサイレンス,340,32,82,0.0941,0.2412,57.9,0.0,7.26,0.1935,0.0477,1.247,A,京都芝短中距離(1400-1600)・良・外枠(7-8)で母父「サンデーサイレンス」は基準比リフト1.247
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),母父,アフリート,229,15,57,0.0655,0.2489,51.6,0.0,7.89,0.1997,0.0492,1.246,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で母父「アフリート」は基準比リフト1.246
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),母父,フレンチデピュティ,338,23,84,0.068,0.2485,42.0,0.0,7.79,0.1997,0.0488,1.244,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.244
東京,直線長め・持続型,芝,短中距離(1400-1600),良,中枠(3-6),母父,キングカメハメハ,208,16,52,0.0769,0.25,64.1,0.0,7.07,0.2028,0.0472,1.233,A,東京芝短中距離(1400-1600)・良・中枠(3-6)で母父「キングカメハメハ」は基準比リフト1.233
小倉,小回り・機動型,芝,短距離(1000-1300),良,中枠(3-6),母父,サンデーサイレンス,325,29,78,0.0892,0.24,127.2,0.0,8.06,0.1949,0.0451,1.231,A,小倉芝短距離(1000-1300)・良・中枠(3-6)で母父「サンデーサイレンス」は基準比リフト1.231
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,外枠(7-8),母父,サンデーサイレンス,362,28,96,0.0773,0.2652,59.0,0.0,7.42,0.2165,0.0487,1.225,A,東京ダ短中距離(1400-1600)・良・外枠(7-8)で母父「サンデーサイレンス」は基準比リフト1.225
中山,坂あり・パワー型,ダ,短距離(1000-1300),良,中枠(3-6),母父,フレンチデピュティ,195,14,46,0.0718,0.2359,113.9,0.0,7.92,0.1927,0.0432,1.224,A,中山ダ短距離(1000-1300)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.224
中山,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),母父,アグネスタキオン,204,18,54,0.0882,0.2647,60.4,0.0,7.34,0.2165,0.0482,1.223,A,中山芝中距離(1700-2000)・良・中枠(3-6)で母父「アグネスタキオン」は基準比リフト1.223
