場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
阪神,坂あり・パワー型,芝,短中距離(1400-1600),稍,内枠(1-2),父系統,父系統不明,160,18,49,0.1125,0.3062,200.7,0.0,7.18,0.2203,0.0859,1.39,A,阪神芝短中距離(1400-1600)・稍・内枠(1-2)で父系統「父系統不明」は基準比リフト1.39
札幌,小回り・持続型,芝,中距離(1700-2000),良,外枠(7-8),父系統,父系統不明,322,25,93,0.0776,0.2888,108.4,0.0,7.01,0.2079,0.0809,1.389,A,札幌芝中距離(1700-2000)・良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.389
小倉,小回り・機動型,ダ,中距離(1700-2000),稍,内枠(1-2),父系統,ネイティヴダンサー系,150,18,42,0.12,0.28,218.7,0.0,7.63,0.2017,0.0783,1.388,A,小倉ダ中距離(1700-2000)・稍・内枠(1-2)で父系統「ネイティヴダンサー系」は基準比リフト1.388
中京,直線長め・持続型,芝,短中距離(1400-1600),稍,中枠(3-6),父系統,父系統不明,163,20,47,0.1227,0.2883,86.5,0.0,6.8,0.211,0.0773,1.366,A,中京芝短中距離(1400-1600)・稍・中枠(3-6)で父系統「父系統不明」は基準比リフト1.366
札幌,小回り・持続型,ダ,短距離(1000-1300),良,中枠(3-6),父系統,ネイティヴダンサー系,294,24,100,0.0816,0.3401,41.3,0.0,5.81,0.2558,0.0843,1.33,A,札幌ダ短距離(1000-1300)・良・中枠(3-6)で父系統「ネイティヴダンサー系」は基準比リフト1.33
阪神,坂あり・パワー型,ダ,短中距離(1400-1600),良,中枠(3-6),父系統,ナスルーラ系,346,26,93,0.0751,0.2688,57.6,0.0,7.36,0.2031,0.0657,1.323,A,阪神ダ短中距離(1400-1600)・良・中枠(3-6)で父系統「ナスルーラ系」は基準比リフト1.323
福島,小回り・機動型,芝,長距離(2500以上),良,外枠(7-8),父系統,父系統不明,184,20,49,0.1087,0.2663,82.1,0.0,6.97,0.2014,0.0649,1.322,A,福島芝長距離(2500以上)・良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.322
京都,平坦・スピード型,ダ,短距離(1000-1300),重不良,中枠(3-6),父系統,ニアークティック系,167,15,46,0.0898,0.2754,144.1,0.0,7.72,0.2085,0.0669,1.321,A,京都ダ短距離(1000-1300)・重不良・中枠(3-6)で父系統「ニアークティック系」は基準比リフト1.321
福島,小回り・機動型,ダ,中距離(1700-2000),稍,中枠(3-6),父系統,父系統不明,202,16,53,0.0792,0.2624,69.6,0.0,7.3,0.1998,0.0626,1.313,A,福島ダ中距離(1700-2000)・稍・中枠(3-6)で父系統「父系統不明」は基準比リフト1.313
中京,直線長め・持続型,芝,短距離(1000-1300),良,中枠(3-6),父系統,父系統不明,329,24,85,0.0729,0.2584,81.0,0.0,7.48,0.1973,0.0611,1.31,A,中京芝短距離(1000-1300)・良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.31
